train_time,accuracy
12.901108741760254,38.64
12.525312185287476,41.54
12.992720603942871,43.33
12.318111419677734,44.48
12.26286768913269,47.85
12.46866250038147,50.34
12.539359092712402,53.83
12.339290857315063,54.9
12.532652378082275,58.25
12.48681354522705,51.78
13.236554861068726,58.19
12.606521129608154,56.37
12.537308931350708,58.86
12.601631164550781,58.25
12.606844663619995,60.35
12.657508611679077,59.84
12.771798372268677,61.38
12.766657829284668,63.4
12.777352094650269,55.59
12.661362171173096,61.46
12.265709161758423,62.8
12.219051361083984,64.26
13.03000545501709,62.38
12.78557300567627,63.96
12.528884649276733,65.05
12.02012324333191,62.25
12.28397011756897,63.43
12.678865671157837,61.63
12.336401224136353,64.9
12.668898820877075,63.65
15.560545206069946,64.92
12.282967805862427,62.52
12.476024389266968,65.78
12.187915325164795,66.85
12.56749677658081,65.75
12.301078081130981,62.76
12.248366832733154,65.65
12.410765886306763,67.1
12.61453366279602,66.12
12.368759632110596,64.39
12.78782868385315,65.82
12.613341808319092,65.26
12.506323099136353,64.57
12.285674333572388,67.18
12.522681474685669,66.13
12.194885730743408,67.36
12.181717157363892,66.84
12.551738739013672,65.96
12.446415424346924,67.99
12.437592506408691,66.79
12.340043067932129,71.04
12.395512819290161,71.28
13.822573184967041,71.28
13.7985680103302,71.52
13.161901235580444,71.78
12.816487550735474,71.65
12.299586772918701,71.31
12.493091344833374,71.29
12.804054975509644,71.62
12.483910083770752,71.5
12.786065101623535,71.19
12.79209566116333,71.89
12.787899017333984,71.95
14.06705927848816,71.69
13.408585548400879,71.58
13.662383317947388,71.31
13.850122690200806,71.74
13.03155779838562,71.44
12.634268760681152,71.88
12.573543071746826,71.91
12.535785913467407,71.44
12.431292295455933,71.67
12.3436439037323,72.03
12.693708896636963,71.83
12.54486608505249,71.59
12.61916470527649,71.7
12.94947862625122,72.11
12.7252516746521,71.75
12.543084144592285,71.87
12.524858474731445,71.44
12.412675380706787,71.77
12.757185459136963,72.09
12.83706545829773,71.99
12.534274101257324,71.39
12.800458192825317,71.9
12.454352140426636,71.55
13.33901333808899,71.47
13.063451766967773,71.71
13.086703300476074,71.77
13.010523080825806,71.66
12.88016414642334,71.91
12.603528261184692,71.77
12.61170482635498,71.55
12.547234296798706,71.59
12.477701187133789,71.19
12.468249797821045,71.91
12.633601903915405,71.7
12.684572696685791,71.87
12.5597562789917,71.76
