throughput,iter_time
36.613940477371216,41.58
26.842528343200684,40.07
22.670190811157227,45.18
22.450175762176514,50.34
22.79783844947815,51.95
23.067981481552124,45.91
22.922978401184082,54.1
29.543753385543823,54.73
26.63981866836548,56.36
23.44610023498535,54.85
22.04626154899597,55.83
22.62735652923584,57.35
22.61334538459778,58.7
30.594810962677002,60.11
21.840282201766968,57.96
27.10713267326355,58.05
22.943737983703613,62.51
21.156461000442505,61.97
21.405556678771973,60.35
24.90877866744995,60.6
22.316981315612793,60.96
22.506581783294678,65.63
22.398935556411743,62.48
22.90493083000183,62.35
21.765965223312378,65.35
22.62671446800232,63.67
32.35972261428833,62.78
22.443745613098145,60.98
35.201943159103394,65.6
22.471999883651733,64.75
24.081543684005737,66.19
22.104416608810425,65.41
33.002816915512085,63.39
23.564191818237305,66.34
26.502031564712524,67.46
28.41575789451599,64.76
23.503154277801514,64.72
24.000709056854248,68.34
23.875661373138428,64.12
22.23178482055664,65.77
21.556291103363037,65.92
21.93468427658081,67.09
30.463261127471924,66.72
21.76296067237854,69.36
29.96763777732849,65.82
22.82188630104065,64.37
23.532902002334595,66.41
23.382690906524658,64.27
23.197130918502808,66.15
22.466511487960815,68.83
23.009945392608643,71.67
22.599069118499756,71.76
21.493152618408203,71.71
26.970484972000122,71.87
26.27838897705078,71.73
28.789687395095825,71.73
25.85669732093811,71.43
23.936328172683716,71.63
25.08259105682373,71.87
22.27910876274109,71.57
21.708949089050293,71.86
31.55983257293701,71.87
26.864022970199585,71.68
22.373656749725342,71.3
23.391826391220093,71.79
23.52707600593567,71.84
27.293038845062256,71.86
25.04048728942871,71.93
22.917137145996094,71.8
24.083250522613525,72.1
28.11046862602234,71.97
23.927364349365234,71.52
26.3835551738739,72.08
30.111098051071167,71.99
20.955883502960205,71.97
22.370206594467163,72.07
21.72641897201538,72.17
21.773217916488647,71.91
21.242927312850952,71.88
27.651188373565674,72.17
23.3231782913208,71.74
28.350515365600586,71.52
27.63355326652527,71.7
30.360804319381714,71.97
23.286518573760986,72.12
23.219998836517334,72.23
26.55494475364685,72.16
23.200958251953125,72.27
34.02935314178467,72.11
34.46487808227539,71.82
25.877817392349243,72.07
24.94452953338623,71.92
22.299821853637695,71.89
25.571582317352295,72.12
22.844813108444214,71.94
22.067800045013428,71.57
22.725188970565796,71.78
26.683500289916992,72.13
22.49810552597046,71.62
