train_time,accuracy
41.56652331352234,41.23
35.8984899520874,44.63
43.09107732772827,48.83
41.7571063041687,52.05
35.47379469871521,54.3
33.89919590950012,56.58
37.592496156692505,57.43
33.720579862594604,58.97
32.14117383956909,60.32
34.07284212112427,61.99
34.98169279098511,61.0
42.75853753089905,62.47
34.37794375419617,63.78
38.081509828567505,62.88
40.489561796188354,62.96
41.22614336013794,64.59
45.013272523880005,64.11
42.33303475379944,65.01
40.37253475189209,66.2
34.07806158065796,65.06
33.19982695579529,64.52
32.10524392127991,66.6
32.819164991378784,66.17
36.294386863708496,68.14
34.89140772819519,65.1
32.70648670196533,66.96
30.757513284683228,67.66
29.66946792602539,67.42
32.96033573150635,67.39
34.25712966918945,68.24
31.680147647857666,67.5
31.314937114715576,68.68
31.30534338951111,68.64
31.20666193962097,67.68
30.94204878807068,67.58
34.37456560134888,69.7
32.95072889328003,68.67
31.1463463306427,70.43
30.339322566986084,69.06
29.86185312271118,69.32
31.14296007156372,68.55
32.21516561508179,69.8
31.157588481903076,69.21
32.006747007369995,69.75
33.596649169921875,69.4
33.38611149787903,70.05
34.78247833251953,69.53
34.42472696304321,70.37
32.142698764801025,70.29
31.70729422569275,70.41
31.242607355117798,71.88
32.528412103652954,72.26
35.62109971046448,72.17
34.64107322692871,72.5
33.881170988082886,72.22
32.9090096950531,72.55
34.79138541221619,72.18
35.95591902732849,72.25
36.02400255203247,72.3
35.49754071235657,72.02
34.00468850135803,71.84
33.7714958190918,72.22
35.112754106521606,72.34
31.548853635787964,72.29
33.48231506347656,72.03
34.464712142944336,72.1
33.80248522758484,72.39
34.87744760513306,72.35
31.366945266723633,72.29
28.870890617370605,72.29
32.85461497306824,72.12
33.617318868637085,72.25
33.624478578567505,72.02
32.13460993766785,72.21
30.911822080612183,72.21
29.748456716537476,72.28
30.608816146850586,72.4
32.53252339363098,72.22
32.459800481796265,72.19
30.678781986236572,72.19
34.56937313079834,72.03
35.35495042800903,72.15
33.84320378303528,72.15
31.624980926513672,71.93
29.912944793701172,71.74
31.194299459457397,71.83
31.394500970840454,71.91
35.30640268325806,71.9
34.04610061645508,71.8
37.02466917037964,71.88
32.31545639038086,71.99
36.14912271499634,72.03
34.032976150512695,71.94
31.314619064331055,72.04
28.119486808776855,71.78
34.93914175033569,71.56
35.181777000427246,71.84
35.41959023475647,71.84
33.62998127937317,71.81
