train_time,accuracy
188.83809447288513,39.69
187.25686931610107,44.19
188.90125370025635,47.19
188.90342211723328,45.65
186.7971487045288,51.81
187.5420618057251,52.01
189.03020000457764,53.6
188.70424938201904,52.46
187.6861228942871,52.72
187.31969213485718,56.37
187.80343651771545,55.51
188.65675258636475,56.05
187.55306148529053,59.74
187.49251222610474,57.65
187.40739011764526,57.58
190.20189118385315,60.18
187.84174752235413,60.23
187.17411994934082,63.2
186.8385932445526,59.0
186.17048406600952,60.25
190.04108786582947,63.69
189.39258360862732,64.97
186.68495225906372,59.63
187.14331698417664,61.22
187.8033628463745,66.18
188.42953276634216,64.05
189.20653700828552,60.38
188.8216836452484,66.21
188.56212162971497,65.1
186.65211272239685,64.75
189.02164888381958,65.35
190.55845522880554,63.8
189.2955241203308,66.82
186.60411167144775,65.73
188.74077796936035,63.15
189.94142866134644,66.78
185.94459509849548,67.55
187.36561632156372,63.68
186.3827667236328,69.09
187.92382407188416,64.87
188.10939955711365,65.53
188.8323893547058,67.55
185.77873706817627,64.84
186.58894181251526,67.24
187.69400930404663,67.58
189.08074069023132,67.22
187.03204226493835,66.43
187.3199999332428,66.93
189.06404900550842,68.01
187.68077111244202,66.3
183.73336577415466,35.19
