train_time,accuracy
153.38877391815186,40.1
152.48321866989136,45.92
149.8354992866516,43.88
152.34827303886414,48.28
153.71657586097717,46.64
151.61198472976685,50.95
153.1708118915558,53.93
150.97059440612793,54.81
155.0699121952057,55.28
153.76670956611633,55.7
151.1496081352234,55.25
156.91378045082092,56.08
150.75484609603882,60.84
152.5970540046692,59.94
153.65698742866516,58.41
154.93272352218628,60.38
153.8076822757721,62.19
152.1639289855957,60.88
153.8988938331604,61.49
152.9147276878357,60.57
152.6132516860962,61.11
153.99947905540466,62.8
151.55955362319946,60.85
154.16196823120117,56.51
151.52998971939087,64.33
153.4961280822754,64.49
152.30019879341125,60.43
150.45204997062683,63.62
152.84879350662231,62.0
153.78272151947021,58.82
150.47041273117065,65.06
152.24802684783936,66.67
151.44294452667236,65.1
156.74333000183105,66.33
156.979065656662,64.7
151.45901918411255,62.85
154.31287264823914,61.08
151.8722698688507,67.22
153.80320239067078,66.33
154.5783236026764,63.92
152.35170483589172,65.47
152.69914054870605,66.38
151.9032428264618,63.15
154.39267754554749,66.74
154.30352210998535,66.35
149.9287838935852,65.76
154.50385189056396,63.68
152.12112283706665,65.26
154.05530500411987,67.32
153.60832595825195,67.79
