throughput,iter_time
33.892737121746876,94.14034819602966
38.218729331029216,96.8640193939209
41.706263279710356,96.0136833190918
37.642066324160695,96.21809601783752
41.81844227793946,95.83924913406372
39.10201512107833,96.56027364730835
35.08247954561513,99.48797798156738
40.33620928782335,100.08895254135132
35.363000847236435,97.15469622612
7.382269811726623,98.07444095611572
37.721128480722776,99.33482027053833
40.12175148893,97.58578252792358
33.97987059860409,96.66761827468872
37.92785436652716,98.38367247581482
40.64332674076836,97.66566944122314
38.508713355362815,94.41039371490479
41.7367001129669,97.26283288002014
40.63329094320095,97.5238687992096
37.83083889533109,94.9403464794159
40.611179704656614,96.94101929664612
41.21877302438692,98.7650933265686
40.43012802657584,96.2354793548584
10.250236051965633,94.77452754974365
40.81942939800625,97.96993970870972
38.39538515244961,99.94942355155945
34.97187202721557,99.1407241821289
40.57469410273742,99.30039262771606
