train_time,accuracy
230.31060409545898,39.53
230.6727786064148,45.35
230.93056416511536,46.22
231.6301395893097,47.41
233.09151697158813,50.26
230.8965437412262,50.29
233.06587958335876,53.65
233.4567801952362,56.09
231.84954977035522,52.59
232.1677644252777,52.3
231.647531747818,58.18
232.82194137573242,59.06
229.69570469856262,58.6
231.30963778495789,57.77
229.8714518547058,56.33
229.51798701286316,56.3
230.73298811912537,59.26
231.86849093437195,61.95
231.0099639892578,57.13
230.69680213928223,64.17
231.64182996749878,58.62
232.23654198646545,63.46
231.74692797660828,65.01
232.85459542274475,65.74
231.66121983528137,62.03
233.61388397216797,66.7
232.3523292541504,62.43
229.10572028160095,63.42
232.30092978477478,63.44
231.7149317264557,67.08
231.09190368652344,63.25
232.0783417224884,65.35
233.1757891178131,65.39
231.42092180252075,65.93
233.39732313156128,63.37
232.5661108493805,63.89
228.91029405593872,67.49
228.90150380134583,67.7
232.60290813446045,65.35
231.0205409526825,65.27
231.28666949272156,63.63
232.19849944114685,66.33
229.16311836242676,66.0
232.57655668258667,65.28
230.95562291145325,67.3
230.76078987121582,62.46
232.46378922462463,63.23
231.47205638885498,67.4
232.26944947242737,67.69
230.43463969230652,67.15
