throughput,iter_time,round_time
41.33134417868364,3.5763607311248777,178.8180365562439
38.12798847363046,3.571094660758972,178.5547330379486
6.332006347976843,3.5759722423553466,178.79861211776733
32.583840840950195,3.5677155113220214,178.38577556610107
34.715923745630164,3.5800470685958863,179.0023534297943
33.743090144232184,3.578231010437012,178.9115505218506
33.892549903115494,3.557797074317932,177.8898537158966
37.38736737829427,3.590389471054077,179.51947355270386
35.756055232078964,3.5524048662185668,177.62024331092834
36.093724190584716,3.56235445022583,178.1177225112915
31.93205888628755,3.5707609033584595,178.53804516792297
34.96498221005607,3.583646869659424,179.1823434829712
36.81443664911503,3.5698033666610716,178.4901683330536
34.58545689387217,3.589185528755188,179.4592764377594
36.40760806975056,3.5667775011062623,178.3388750553131
36.40756177677036,3.5703658437728882,178.5182921886444
40.16803643675473,3.585254683494568,179.2627341747284
39.37770192915536,3.5882961177825927,179.41480588912964
39.92100596124148,3.567020311355591,178.35101556777954
36.287474144449746,3.58280255317688,179.140127658844
41.01503478426118,3.5788546276092528,178.94273138046265
22.43614098570893,3.5824629783630373,179.12314891815186
36.94333344945412,3.571318564414978,178.5659282207489
34.119956958478596,3.565064287185669,178.25321435928345
32.87441949609522,3.561750736236572,178.0875368118286
34.18954282382301,3.5648167514801026,178.24083757400513
37.334198786346796,3.573170280456543,178.65851402282715
30.839905892692826,3.563113799095154,178.1556899547577
39.804869354234064,3.5843333053588866,179.21666526794434
33.503313272795495,3.570133547782898,178.5066773891449
39.29910088096537,3.57179744720459,178.5898723602295
40.56277664945136,3.5725572395324705,178.62786197662354
35.650145286861346,3.603706979751587,180.18534898757935
41.2802977201953,3.5778818225860594,178.89409112930298
37.23402648967583,3.566337728500366,178.3168864250183
38.86422659600171,3.579551248550415,178.97756242752075
36.192360244390876,3.564553380012512,178.2276690006256
39.76396316875371,3.5698023223876953,178.49011611938477
40.952403752775275,3.5747662591934204,178.73831295967102
37.614473634198866,3.5700193357467653,178.50096678733826
39.188551709664914,3.565777072906494,178.2888536453247
40.547593002914354,3.564611721038818,178.23058605194092
42.06255269244009,3.5767867612838744,178.83933806419373
10.362102873907086,3.579160284996033,178.95801424980164
28.92210497962306,3.576883707046509,178.84418535232544
29.531137510949637,3.621598711013794,181.0799355506897
34.682283605531445,3.565174770355225,178.25873851776123
33.8423697561164,3.57878351688385,178.9391758441925
38.67723128349951,3.581433448791504,179.0716724395752
39.193522534393836,3.5981335973739625,179.90667986869812
36.37962230972974,3.562595834732056,178.12979173660278
35.91728421450517,3.588583478927612,179.42917394638062
32.15680433053254,3.553152675628662,177.6576337814331
36.72921338167887,3.5709586763381957,178.5479338169098
34.799450302238974,3.57831223487854,178.915611743927
35.99737410775911,3.579514265060425,178.97571325302124
39.001369335337145,3.6022113275527956,180.11056637763977
33.80973512094649,3.5874093627929686,179.37046813964844
