train_time,accuracy
157.07813668251038,39.69
158.5280647277832,44.19
158.6645965576172,47.19
157.17249155044556,45.65
158.15295028686523,51.81
160.14610743522644,52.01
156.47110033035278,53.6
158.22093868255615,52.46
156.60529899597168,52.72
157.7327175140381,56.37
157.6325786113739,55.51
158.3062880039215,56.05
158.77079486846924,59.74
158.89190411567688,57.65
158.3043918609619,57.58
159.1497356891632,60.18
156.4134500026703,60.23
157.08713102340698,63.2
157.44896721839905,59.0
158.29029035568237,60.25
156.0002088546753,63.69
158.9948706626892,64.97
156.5434319972992,59.63
154.94260597229004,61.22
158.50552797317505,66.18
157.5943944454193,64.05
156.3551640510559,60.38
157.63640570640564,66.21
158.37881469726562,65.1
160.04447436332703,64.75
158.32499837875366,65.35
157.73681592941284,63.8
155.95995497703552,66.82
159.2214105129242,65.73
159.63249039649963,63.15
157.53696203231812,66.78
155.55887126922607,67.55
158.55336165428162,63.68
156.68283247947693,69.09
156.92824363708496,64.87
159.45051050186157,65.53
158.52955198287964,67.55
156.4942524433136,64.84
158.51788878440857,67.24
158.6061453819275,67.58
158.25915956497192,67.22
159.1355698108673,66.43
157.28941917419434,66.93
158.41650223731995,68.01
157.23046731948853,66.3
160.44748330116272,70.34
